ccaa_code,ccaa_name,Edad,Periodo,Sexo,prob_mortalidad
17,"Rioja, La",1,2004,Mujeres,0.0
17,"Rioja, La",1,2006,Mujeres,0.0
17,"Rioja, La",1,2007,Mujeres,0.0
17,"Rioja, La",5,2010,Mujeres,0.0
17,"Rioja, La",1,2020,Mujeres,0.0
17,"Rioja, La",5,2012,Mujeres,0.0
17,"Rioja, La",5,2016,Mujeres,0.0
17,"Rioja, La",5,2018,Mujeres,0.0
17,"Rioja, La",5,2019,Mujeres,0.0
17,"Rioja, La",5,2021,Mujeres,0.0
17,"Rioja, La",15,2012,Hombres,0.0
17,"Rioja, La",15,2015,Hombres,0.0
17,"Rioja, La",5,2006,Hombres,0.0
04,"Balears, Illes",1,2009,Mujeres,0.0
19,Melilla,10,2014,Mujeres,0.0
19,Melilla,10,2016,Mujeres,0.0
18,Ceuta,5,1994,Mujeres,0.0
17,"Rioja, La",1,2022,Mujeres,0.0
17,"Rioja, La",1,2023,Mujeres,0.0
17,"Rioja, La",1,1995,Mujeres,0.0
17,"Rioja, La",1,1996,Mujeres,0.0
11,Extremadura,1,2008,Hombres,0.0
11,Extremadura,1,2012,Hombres,0.0
03,"Asturias, Principado de",10,2020,Hombres,0.0
03,"Asturias, Principado de",10,2022,Hombres,0.0
15,"Navarra, Comunidad Foral de",15,2004,Mujeres,0.0
18,Ceuta,10,2013,Mujeres,0.0
18,Ceuta,10,2014,Mujeres,0.0
18,Ceuta,5,1993,Mujeres,0.0
19,Melilla,15,2012,Mujeres,0.0
18,Ceuta,5,1996,Mujeres,0.0
18,Ceuta,5,1997,Mujeres,0.0
18,Ceuta,10,1999,Mujeres,0.0
18,Ceuta,10,2000,Mujeres,0.0
19,Melilla,5,2004,Mujeres,0.0
19,Melilla,5,2005,Mujeres,0.0
19,Melilla,10,2007,Mujeres,0.0
19,Melilla,10,2008,Mujeres,0.0
19,Melilla,10,2009,Mujeres,0.0
19,Melilla,10,2010,Mujeres,0.0
19,Melilla,10,2011,Mujeres,0.0
18,Ceuta,20,2023,Mujeres,0.0
18,Ceuta,15,2015,Mujeres,0.0
19,Melilla,5,2023,Hombres,0.0
19,Melilla,1,1991,Hombres,0.0
18,Ceuta,1,1992,Mujeres,0.0
18,Ceuta,1,1994,Mujeres,0.0
18,Ceuta,1,1996,Mujeres,0.0
18,Ceuta,1,1997,Mujeres,0.0
18,Ceuta,10,2015,Mujeres,0.0
19,Melilla,5,2018,Hombres,0.0
18,Ceuta,20,2020,Mujeres,0.0
18,Ceuta,20,2021,Mujeres,0.0
18,Ceuta,20,2022,Mujeres,0.0
19,Melilla,15,2022,Mujeres,0.0
18,Ceuta,15,1994,Mujeres,0.0
18,Ceuta,15,1997,Mujeres,0.0
18,Ceuta,15,1998,Mujeres,0.0
18,Ceuta,15,1999,Mujeres,0.0
18,Ceuta,20,2002,Mujeres,0.0
18,Ceuta,15,2007,Mujeres,0.0
18,Ceuta,15,2010,Mujeres,0.0
18,Ceuta,15,2011,Mujeres,0.0
18,Ceuta,15,2012,Mujeres,0.0
18,Ceuta,15,2014,Mujeres,0.0
19,Melilla,20,2016,Mujeres,0.0
19,Melilla,1,1994,Hombres,0.0
18,Ceuta,5,2016,Mujeres,0.0
18,Ceuta,5,2017,Mujeres,0.0
18,Ceuta,5,2019,Mujeres,0.0
18,Ceuta,10,2016,Mujeres,0.0
19,Melilla,25,2008,Hombres,0.0
19,Melilla,20,2016,Hombres,0.0
19,Melilla,25,2002,Hombres,0.0
19,Melilla,25,2014,Hombres,0.0
15,"Navarra, Comunidad Foral de",10,2003,Mujeres,0.0
19,Melilla,0,2010,Mujeres,0.0
19,Melilla,1,2021,Mujeres,0.0
15,"Navarra, Comunidad Foral de",10,2005,Mujeres,0.0
19,Melilla,15,2013,Hombres,0.0
19,Melilla,1,1995,Hombres,0.0
19,Melilla,1,2004,Hombres,0.0
19,Melilla,1,2005,Hombres,0.0
19,Melilla,1,2006,Hombres,0.0
15,"Navarra, Comunidad Foral de",10,2010,Mujeres,0.0
15,"Navarra, Comunidad Foral de",10,2019,Mujeres,0.0
15,"Navarra, Comunidad Foral de",10,2020,Mujeres,0.0
15,"Navarra, Comunidad Foral de",10,2023,Mujeres,0.0
15,"Navarra, Comunidad Foral de",5,1991,Mujeres,0.0
19,Melilla,25,2007,Hombres,0.0
19,Melilla,15,2021,Mujeres,0.0
19,Melilla,5,1992,Hombres,0.0
18,Ceuta,20,2007,Mujeres,0.0
19,Melilla,10,2020,Hombres,0.0
19,Melilla,10,2021,Hombres,0.0
19,Melilla,5,2003,Hombres,0.0
19,Melilla,5,2004,Hombres,0.0
19,Melilla,30,2016,Hombres,0.0
19,Melilla,30,2007,Hombres,0.0
19,Melilla,30,2010,Hombres,0.0
19,Melilla,30,2011,Hombres,0.0
19,Melilla,5,2021,Hombres,0.0
19,Melilla,10,2023,Hombres,0.0
19,Melilla,5,1991,Hombres,0.0
18,Ceuta,20,2005,Mujeres,0.0
19,Melilla,5,1993,Hombres,0.0
19,Melilla,5,1995,Hombres,0.0
19,Melilla,5,1996,Hombres,0.0
19,Melilla,1,2000,Hombres,0.0
18,Ceuta,15,2002,Mujeres,0.0
18,Ceuta,15,2003,Mujeres,0.0
18,Ceuta,15,2004,Mujeres,0.0
19,Melilla,10,2006,Mujeres,0.0
19,Melilla,15,2009,Mujeres,0.0
19,Melilla,15,2010,Mujeres,0.0
19,Melilla,15,2011,Mujeres,0.0
19,Melilla,5,2013,Hombres,0.0
19,Melilla,15,2017,Hombres,0.0
19,Melilla,15,2019,Hombres,0.0
19,Melilla,20,2023,Hombres,0.0
19,Melilla,20,2008,Mujeres,0.0
17,"Rioja, La",1,2011,Mujeres,0.0
17,"Rioja, La",1,2014,Mujeres,0.0
17,"Rioja, La",1,2015,Mujeres,0.0
19,Melilla,15,1999,Hombres,0.0
19,Melilla,5,2009,Hombres,0.0
19,Melilla,5,2010,Hombres,0.0
19,Melilla,5,2012,Hombres,0.0
19,Melilla,10,2017,Mujeres,0.0
19,Melilla,5,2014,Hombres,0.0
19,Melilla,5,2015,Hombres,0.0
19,Melilla,5,2016,Hombres,0.0
19,Melilla,5,2002,Hombres,0.0
18,Ceuta,20,2008,Mujeres,0.0
18,Ceuta,20,2012,Mujeres,0.0
18,Ceuta,20,2013,Mujeres,0.0
04,"Balears, Illes",10,2020,Mujeres,0.0
18,Ceuta,20,2014,Mujeres,0.0
18,Ceuta,20,2015,Mujeres,0.0
18,Ceuta,20,2016,Mujeres,0.0
18,Ceuta,10,1993,Mujeres,0.0
18,Ceuta,20,2017,Hombres,0.0
18,Ceuta,20,2009,Hombres,0.0
17,"Rioja, La",5,1995,Hombres,0.0
17,"Rioja, La",5,1997,Hombres,0.0
17,"Rioja, La",5,1998,Hombres,0.0
17,"Rioja, La",10,2010,Hombres,0.0
19,Melilla,10,2016,Hombres,0.0
19,Melilla,15,2023,Hombres,0.0
19,Melilla,10,2004,Hombres,0.0
19,Melilla,10,2006,Hombres,0.0
19,Melilla,10,2007,Hombres,0.0
18,Ceuta,10,1991,Mujeres,0.0
18,Ceuta,20,2013,Hombres,0.0
16,País Vasco,1,2022,Mujeres,0.0
18,Ceuta,15,2021,Mujeres,0.0
17,"Rioja, La",5,2001,Hombres,0.0
17,"Rioja, La",5,2003,Hombres,0.0
17,"Rioja, La",5,2004,Hombres,0.0
17,"Rioja, La",5,2009,Hombres,0.0
17,"Rioja, La",5,2018,Hombres,0.0
17,"Rioja, La",5,2020,Hombres,0.0
17,"Rioja, La",15,2023,Mujeres,0.0
18,Ceuta,15,2020,Mujeres,0.0
18,Ceuta,15,2023,Mujeres,0.0
17,"Rioja, La",10,2015,Hombres,0.0
19,Melilla,0,2010,Hombres,0.0
19,Melilla,0,2011,Hombres,0.0
18,Ceuta,25,2019,Mujeres,0.0
17,"Rioja, La",10,2011,Hombres,0.0
19,Melilla,30,2008,Mujeres,0.0
17,"Rioja, La",10,2020,Mujeres,0.0
06,Cantabria,1,2022,Mujeres,0.0
06,Cantabria,1,2001,Mujeres,0.0
03,"Asturias, Principado de",5,2019,Hombres,0.0
07,Castilla y León,10,2005,Mujeres,0.0
17,"Rioja, La",20,2010,Hombres,0.0
17,"Rioja, La",10,2012,Hombres,0.0
18,Ceuta,25,2022,Hombres,0.0
17,"Rioja, La",10,2016,Hombres,0.0
17,"Rioja, La",10,2018,Hombres,0.0
17,"Rioja, La",10,2020,Hombres,0.0
17,"Rioja, La",10,2021,Hombres,0.0
17,"Rioja, La",10,1994,Mujeres,0.0
17,"Rioja, La",15,1997,Mujeres,0.0
17,"Rioja, La",15,1999,Mujeres,0.0
17,"Rioja, La",15,2001,Mujeres,0.0
17,"Rioja, La",15,2004,Mujeres,0.0
18,Ceuta,15,2008,Hombres,0.0
05,Canarias,1,2013,Mujeres,0.0
19,Melilla,15,1995,Mujeres,0.0
17,"Rioja, La",10,1997,Mujeres,0.0
17,"Rioja, La",10,1998,Mujeres,0.0
17,"Rioja, La",10,2000,Mujeres,0.0
17,"Rioja, La",10,2002,Mujeres,0.0
16,País Vasco,1,2018,Mujeres,0.0
06,Cantabria,10,2016,Mujeres,0.0
18,Ceuta,10,2020,Hombres,0.0
18,Ceuta,10,2021,Hombres,0.0
18,Ceuta,5,1991,Hombres,0.0
18,Ceuta,10,1994,Hombres,0.0
11,Extremadura,5,2008,Mujeres,0.0
19,Melilla,15,1994,Mujeres,0.0
17,"Rioja, La",10,1996,Mujeres,0.0
19,Melilla,15,1997,Mujeres,0.0
19,Melilla,20,2012,Mujeres,0.0
18,Ceuta,10,2017,Hombres,0.0
18,Ceuta,5,1993,Hombres,0.0
18,Ceuta,5,1992,Hombres,0.0
18,Ceuta,10,2014,Hombres,0.0
03,"Asturias, Principado de",5,2008,Mujeres,0.0
19,Melilla,15,1993,Mujeres,0.0
19,Melilla,20,2021,Mujeres,0.0
19,Melilla,20,2017,Mujeres,0.0
06,Cantabria,5,1992,Mujeres,0.0
17,"Rioja, La",10,2010,Mujeres,0.0
03,"Asturias, Principado de",1,2023,Hombres,0.0
03,"Asturias, Principado de",1,2012,Hombres,0.0
19,Melilla,10,2013,Hombres,0.0
19,Melilla,10,2014,Hombres,0.0
19,Melilla,10,2015,Hombres,0.0
18,Ceuta,15,2017,Mujeres,0.0
17,"Rioja, La",10,2005,Mujeres,0.0
17,"Rioja, La",10,2006,Mujeres,0.0
17,"Rioja, La",10,2007,Mujeres,0.0
17,"Rioja, La",10,2008,Mujeres,0.0
17,"Rioja, La",10,2009,Mujeres,0.0
17,"Rioja, La",20,2023,Mujeres,0.0
17,"Rioja, La",15,2013,Mujeres,0.0
17,"Rioja, La",15,2014,Mujeres,0.0
17,"Rioja, La",15,2015,Mujeres,0.0
17,"Rioja, La",15,2018,Mujeres,0.0
17,"Rioja, La",15,2019,Mujeres,0.0
17,"Rioja, La",10,2023,Hombres,0.0
18,Ceuta,15,2018,Mujeres,0.0
18,Ceuta,15,2019,Mujeres,0.0
19,Melilla,35,2017,Mujeres,0.0
19,Melilla,30,1991,Mujeres,0.0
17,"Rioja, La",10,1995,Mujeres,0.0
17,"Rioja, La",5,2001,Mujeres,0.0
15,"Navarra, Comunidad Foral de",1,2020,Mujeres,0.0
15,"Navarra, Comunidad Foral de",1,2023,Mujeres,0.0
18,Ceuta,30,2020,Mujeres,0.0
19,Melilla,10,2023,Mujeres,0.0
19,Melilla,5,1992,Mujeres,0.0
19,Melilla,5,1995,Mujeres,0.0
19,Melilla,5,1996,Mujeres,0.0
19,Melilla,5,1997,Mujeres,0.0
19,Melilla,5,1998,Mujeres,0.0
19,Melilla,5,1999,Mujeres,0.0
19,Melilla,5,2001,Mujeres,0.0
19,Melilla,5,2003,Mujeres,0.0
17,"Rioja, La",5,2000,Mujeres,0.0
16,País Vasco,5,2001,Mujeres,0.0
17,"Rioja, La",1,2011,Hombres,0.0
18,Ceuta,15,2012,Hombres,0.0
18,Ceuta,15,2013,Hombres,0.0
18,Ceuta,15,2014,Hombres,0.0
18,Ceuta,15,2018,Hombres,0.0
18,Ceuta,15,2020,Hombres,0.0
17,"Rioja, La",20,2014,Hombres,0.0
17,"Rioja, La",15,1995,Mujeres,0.0
17,"Rioja, La",5,1996,Mujeres,0.0
17,"Rioja, La",5,2009,Mujeres,0.0
06,Cantabria,5,2015,Mujeres,0.0
19,Melilla,10,2018,Mujeres,0.0
19,Melilla,10,2019,Mujeres,0.0
19,Melilla,10,2020,Mujeres,0.0
15,"Navarra, Comunidad Foral de",1,2000,Mujeres,0.0
15,"Navarra, Comunidad Foral de",1,2012,Mujeres,0.0
15,"Navarra, Comunidad Foral de",1,2014,Mujeres,0.0
17,"Rioja, La",25,2001,Mujeres,0.0
17,"Rioja, La",25,2011,Mujeres,0.0
17,"Rioja, La",25,2013,Mujeres,0.0
17,"Rioja, La",15,2021,Hombres,0.0
17,"Rioja, La",1,2001,Mujeres,0.0
06,Cantabria,5,2023,Mujeres,0.0
17,"Rioja, La",10,2012,Mujeres,0.0
06,Cantabria,5,2016,Mujeres,0.0
06,Cantabria,5,2018,Mujeres,0.0
06,Cantabria,5,2021,Mujeres,0.0
04,"Balears, Illes",5,2013,Mujeres,0.0
04,"Balears, Illes",5,2016,Mujeres,0.0
17,"Rioja, La",25,2017,Mujeres,0.0
17,"Rioja, La",25,2018,Mujeres,0.0
17,"Rioja, La",25,2020,Mujeres,0.0
19,Melilla,10,2012,Mujeres,0.0
19,Melilla,10,2013,Mujeres,0.0
17,"Rioja, La",5,1997,Mujeres,0.0
18,Ceuta,20,1994,Mujeres,0.0
06,Cantabria,1,2003,Mujeres,0.0
06,Cantabria,1,2005,Mujeres,0.0
17,"Rioja, La",10,2022,Mujeres,0.0
17,"Rioja, La",10,2023,Mujeres,0.0
17,"Rioja, La",5,1992,Mujeres,0.0
19,Melilla,10,1991,Hombres,0.0
19,Melilla,10,1992,Hombres,0.0
19,Melilla,10,1995,Hombres,0.0
19,Melilla,10,1996,Hombres,0.0
19,Melilla,10,1998,Hombres,0.0
19,Melilla,10,1999,Hombres,0.0
19,Melilla,10,2000,Hombres,0.0
17,"Rioja, La",5,2005,Mujeres,0.0
18,Ceuta,20,1996,Mujeres,0.0
17,"Rioja, La",15,2023,Hombres,0.0
17,"Rioja, La",10,1992,Hombres,0.0
17,"Rioja, La",15,2021,Mujeres,0.0
17,"Rioja, La",10,1999,Hombres,0.0
17,"Rioja, La",10,2002,Hombres,0.0
17,"Rioja, La",10,2005,Hombres,0.0
17,"Rioja, La",15,2010,Mujeres,0.0
17,"Rioja, La",20,2013,Mujeres,0.0
17,"Rioja, La",20,2020,Mujeres,0.0
17,"Rioja, La",20,2021,Mujeres,0.0
18,Ceuta,15,1998,Hombres,0.0
17,"Rioja, La",10,2013,Mujeres,0.0
17,"Rioja, La",10,2017,Mujeres,0.0
17,"Rioja, La",10,2018,Mujeres,0.0
17,"Rioja, La",10,2019,Mujeres,0.0
17,"Rioja, La",5,2002,Mujeres,0.0
11,Extremadura,5,2019,Hombres,0.0
11,Extremadura,5,2021,Hombres,0.0
18,Ceuta,20,1997,Mujeres,0.0
18,Ceuta,20,2000,Mujeres,0.0
18,Ceuta,25,2002,Mujeres,0.0
19,Melilla,1,2018,Hombres,0.0
15,"Navarra, Comunidad Foral de",10,2009,Mujeres,0.0
03,"Asturias, Principado de",10,2005,Hombres,0.0
03,"Asturias, Principado de",10,2008,Hombres,0.0
18,Ceuta,15,2003,Hombres,0.0
18,Ceuta,15,2006,Hombres,0.0
19,Melilla,1,2019,Hombres,0.0
17,"Rioja, La",15,2008,Mujeres,0.0
06,Cantabria,5,2022,Mujeres,0.0
17,"Rioja, La",5,2006,Mujeres,0.0
17,"Rioja, La",5,2007,Mujeres,0.0
17,"Rioja, La",5,2008,Mujeres,0.0
18,Ceuta,25,2022,Mujeres,0.0
11,Extremadura,5,2023,Mujeres,0.0
06,Cantabria,5,2006,Hombres,0.0
19,Melilla,25,2010,Mujeres,0.0
19,Melilla,25,2014,Mujeres,0.0
19,Melilla,25,2017,Mujeres,0.0
03,"Asturias, Principado de",10,2006,Mujeres,0.0
03,"Asturias, Principado de",10,2009,Mujeres,0.0
19,Melilla,10,2010,Hombres,0.0
19,Melilla,10,2012,Hombres,0.0
03,"Asturias, Principado de",5,2015,Hombres,0.0
11,Extremadura,10,2018,Mujeres,0.0
11,Extremadura,10,2019,Mujeres,0.0
06,Cantabria,5,2001,Hombres,0.0
06,Cantabria,5,2021,Hombres,0.0
06,Cantabria,5,2022,Hombres,0.0
06,Cantabria,10,2023,Hombres,0.0
18,Ceuta,0,2021,Mujeres,0.0
06,Cantabria,5,2015,Hombres,0.0
06,Cantabria,5,2018,Hombres,0.0
11,Extremadura,10,2013,Mujeres,0.0
02,Aragón,5,2007,Mujeres,0.0
02,Aragón,5,2016,Mujeres,0.0
02,Aragón,5,2018,Mujeres,0.0
18,Ceuta,1,2007,Hombres,0.0
06,Cantabria,10,2016,Hombres,0.0
06,Cantabria,10,2018,Hombres,0.0
06,Cantabria,10,2019,Hombres,0.0
06,Cantabria,20,2010,Mujeres,0.0
18,Ceuta,1,2009,Hombres,0.0
18,Ceuta,1,2010,Hombres,0.0
18,Ceuta,1,2011,Hombres,0.0
18,Ceuta,1,2023,Hombres,0.0
07,Castilla y León,10,2019,Hombres,0.0
06,Cantabria,10,1997,Mujeres,0.0
06,Cantabria,10,1999,Mujeres,0.0
03,"Asturias, Principado de",15,2016,Mujeres,0.0
11,Extremadura,10,2010,Mujeres,0.0
18,Ceuta,1,2021,Hombres,0.0
18,Ceuta,1,2022,Hombres,0.0
18,Ceuta,1,1994,Hombres,0.0
18,Ceuta,1,1997,Hombres,0.0
18,Ceuta,1,1998,Hombres,0.0
18,Ceuta,1,1999,Hombres,0.0
18,Ceuta,0,2022,Mujeres,0.0
18,Ceuta,0,2023,Mujeres,0.0
18,Ceuta,0,2016,Mujeres,0.0
19,Melilla,1,2015,Mujeres,0.0
19,Melilla,25,2001,Mujeres,0.0
19,Melilla,25,2006,Mujeres,0.0
19,Melilla,25,2007,Mujeres,0.0
19,Melilla,25,2009,Mujeres,0.0
19,Melilla,30,2011,Mujeres,0.0
19,Melilla,1,2009,Mujeres,0.0
19,Melilla,1,2013,Mujeres,0.0
11,Extremadura,10,1999,Mujeres,0.0
15,"Navarra, Comunidad Foral de",10,2002,Hombres,0.0
15,"Navarra, Comunidad Foral de",10,2005,Hombres,0.0
15,"Navarra, Comunidad Foral de",15,2014,Hombres,0.0
19,Melilla,25,1999,Mujeres,0.0
06,Cantabria,15,2023,Mujeres,0.0
18,Ceuta,25,2005,Mujeres,0.0
18,Ceuta,25,2008,Mujeres,0.0
18,Ceuta,25,2012,Mujeres,0.0
18,Ceuta,25,2014,Mujeres,0.0
19,Melilla,25,2021,Mujeres,0.0
03,"Asturias, Principado de",15,2012,Mujeres,0.0
19,Melilla,1,1995,Mujeres,0.0
19,Melilla,1,1999,Mujeres,0.0
19,Melilla,5,2006,Mujeres,0.0
06,Cantabria,1,2003,Hombres,0.0
19,Melilla,25,2018,Mujeres,0.0
19,Melilla,25,2019,Mujeres,0.0
19,Melilla,1,2014,Mujeres,0.0
19,Melilla,1,2005,Mujeres,0.0
19,Melilla,1,2006,Mujeres,0.0
19,Melilla,1,2007,Mujeres,0.0
06,Cantabria,1,2016,Hombres,0.0
06,Cantabria,1,2020,Hombres,0.0
06,Cantabria,1,2021,Hombres,0.0
06,Cantabria,1,2002,Hombres,0.0
12,Galicia,5,2014,Mujeres,0.0
06,Cantabria,10,2013,Hombres,0.0
06,Cantabria,1,2007,Hombres,0.0
15,"Navarra, Comunidad Foral de",20,2020,Hombres,0.0
06,Cantabria,5,2008,Hombres,0.0
06,Cantabria,5,2009,Hombres,0.0
06,Cantabria,5,2013,Hombres,0.0
18,Ceuta,25,1993,Mujeres,0.0
18,Ceuta,25,2000,Mujeres,0.0
03,"Asturias, Principado de",20,2015,Mujeres,0.0
19,Melilla,25,2022,Mujeres,0.0
19,Melilla,25,1997,Mujeres,0.0
03,"Asturias, Principado de",10,2017,Mujeres,0.0
19,Melilla,15,2003,Mujeres,0.0
19,Melilla,20,2010,Mujeres,0.0
06,Cantabria,5,1996,Mujeres,0.0
19,Melilla,15,1992,Mujeres,0.0
06,Cantabria,10,2021,Mujeres,0.0
03,"Asturias, Principado de",10,2015,Mujeres,0.0
03,"Asturias, Principado de",5,2007,Hombres,0.0
02,Aragón,5,1998,Mujeres,0.0
03,"Asturias, Principado de",5,1999,Mujeres,0.0
03,"Asturias, Principado de",5,2003,Mujeres,0.0
03,"Asturias, Principado de",10,2016,Mujeres,0.0
19,Melilla,15,2001,Mujeres,0.0
18,Ceuta,5,2003,Hombres,0.0
18,Ceuta,5,2004,Hombres,0.0
18,Ceuta,5,2005,Hombres,0.0
18,Ceuta,5,2006,Hombres,0.0
18,Ceuta,5,2007,Hombres,0.0
18,Ceuta,10,2015,Hombres,0.0
06,Cantabria,10,2002,Mujeres,0.0
06,Cantabria,10,2003,Mujeres,0.0
06,Cantabria,10,2006,Mujeres,0.0
06,Cantabria,10,2008,Mujeres,0.0
19,Melilla,45,2017,Mujeres,0.0
18,Ceuta,5,1995,Hombres,0.0
19,Melilla,20,2022,Mujeres,0.0
19,Melilla,20,2023,Mujeres,0.0
19,Melilla,20,1993,Mujeres,0.0
19,Melilla,20,1996,Mujeres,0.0
19,Melilla,20,2000,Mujeres,0.0
19,Melilla,20,2002,Mujeres,0.0
19,Melilla,15,1992,Hombres,0.0
19,Melilla,15,1999,Mujeres,0.0
19,Melilla,15,2000,Mujeres,0.0
02,Aragón,1,2000,Mujeres,0.0
06,Cantabria,10,2011,Mujeres,0.0
19,Melilla,40,1996,Mujeres,0.0
19,Melilla,35,2016,Mujeres,0.0
18,Ceuta,5,1994,Hombres,0.0
19,Melilla,20,2011,Mujeres,0.0
06,Cantabria,10,2022,Mujeres,0.0
18,Ceuta,10,2009,Hombres,0.0
18,Ceuta,10,2010,Hombres,0.0
18,Ceuta,10,2011,Hombres,0.0
18,Ceuta,10,2012,Hombres,0.0
18,Ceuta,10,2013,Hombres,0.0
06,Cantabria,15,2015,Mujeres,0.0
18,Ceuta,5,2017,Hombres,0.0
18,Ceuta,5,2018,Hombres,0.0
18,Ceuta,5,2019,Hombres,0.0
18,Ceuta,5,2020,Hombres,0.0
06,Cantabria,15,2008,Mujeres,0.0
18,Ceuta,1,2012,Hombres,0.0
18,Ceuta,1,2013,Hombres,0.0
18,Ceuta,1,2016,Hombres,0.0
18,Ceuta,1,2019,Hombres,0.0
06,Cantabria,15,2012,Mujeres,0.0
06,Cantabria,15,2013,Mujeres,0.0
18,Ceuta,5,2015,Hombres,0.0
06,Cantabria,15,2016,Mujeres,0.0
06,Cantabria,15,1998,Mujeres,0.0
06,Cantabria,5,2004,Mujeres,0.0
06,Cantabria,5,2007,Mujeres,0.0
18,Ceuta,1,2001,Hombres,0.0
18,Ceuta,1,2002,Hombres,0.0
18,Ceuta,1,2003,Hombres,0.0
06,Cantabria,20,2019,Mujeres,0.0
06,Cantabria,25,2015,Mujeres,0.0
06,Cantabria,10,2012,Hombres,0.0
18,Ceuta,10,2005,Hombres,0.0
06,Cantabria,10,2012,Mujeres,0.0
18,Ceuta,5,1996,Hombres,0.0
18,Ceuta,5,1998,Hombres,0.0
18,Ceuta,5,2000,Hombres,0.0
18,Ceuta,5,2001,Hombres,0.0
06,Cantabria,15,2011,Hombres,0.0
06,Cantabria,15,2012,Hombres,0.0
18,Ceuta,1,2004,Hombres,0.0
18,Ceuta,10,1995,Hombres,0.0
18,Ceuta,10,2000,Hombres,0.0
18,Ceuta,10,2003,Hombres,0.0
18,Ceuta,5,2014,Mujeres,0.0
18,Ceuta,10,2007,Hombres,0.0
06,Cantabria,15,2020,Hombres,0.0
06,Cantabria,5,2010,Mujeres,0.0
18,Ceuta,1,2005,Hombres,0.0
18,Ceuta,5,2008,Hombres,0.0
18,Ceuta,5,2009,Hombres,0.0
18,Ceuta,5,2011,Hombres,0.0
18,Ceuta,5,2012,Hombres,0.0
18,Ceuta,5,2013,Hombres,0.0
18,Ceuta,5,2014,Hombres,0.0
18,Ceuta,10,2019,Mujeres,0.0
18,Ceuta,1,2001,Mujeres,0.0
19,Melilla,1,2020,Mujeres,0.0
19,Melilla,5,2022,Mujeres,0.0
19,Melilla,1,1992,Mujeres,0.0
19,Melilla,1,1993,Mujeres,0.0
18,Ceuta,5,1991,Mujeres,0.0
18,Ceuta,10,2023,Mujeres,0.0
18,Ceuta,10,2020,Mujeres,0.0
18,Ceuta,1,2002,Mujeres,0.0
15,"Navarra, Comunidad Foral de",25,2021,Mujeres,0.0
18,Ceuta,10,2018,Mujeres,0.0
18,Ceuta,1,2019,Mujeres,0.0
18,Ceuta,1,2020,Mujeres,0.0
18,Ceuta,1,2021,Mujeres,0.0
18,Ceuta,1,2022,Mujeres,0.0
