Sexo	Comunidades y Ciudades Autónomas	Nivel de formación alcanzado	Periodo	Total
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2022T4	14,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2022T3	14,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2022T2	14,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2022T1	14
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2021T4	14,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2021T3	14,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2021T2	14
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2021T1	14
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2020T4	14,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2020T3	14,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2020T2	14
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2020T1	13,8
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2019T4	13,9
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2019T3	13,8
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2019T2	13,8
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2019T1	13,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2018T4	13,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2018T3	13,6
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2018T2	13,6
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2018T1	13,6
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2017T4	13,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2017T3	13,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2017T2	13,6
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2017T1	13,6
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2016T4	13,6
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2016T3	13,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2016T2	13,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2016T1	13,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2015T4	13,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2015T3	13,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2015T2	13,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2015T1	13,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2014T4	13,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2014T3	13,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2014T2	13,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2014T1	12,8
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2025T1	8,6
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2024T4	8,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2024T3	8,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2024T2	8,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2024T1	8,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023T4	8,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023T3	8,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023T2	8,4
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2023T1	8,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022T4	8,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022T3	8,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022T2	8,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2022T1	8,4
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021T4	8,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021T3	8,4
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021T2	8,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2021T1	8,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020T4	8,4
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020T3	8,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020T2	7,9
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2020T1	7,9
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019T4	7,9
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019T3	7,8
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019T2	7,8
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2019T1	7,9
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018T4	8
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018T3	7,9
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018T2	7,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2018T1	7,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017T4	7,6
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017T3	7,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017T2	7,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2017T1	7,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016T4	7,4
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016T3	7,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016T2	7,4
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2016T1	7,5
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015T4	7,4
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015T3	7,4
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015T2	7,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2015T1	7,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014T4	7,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014T3	7,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014T2	7,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior)	2014T1	7,1
Ambos sexos	Total Nacional	Educación superior	2025T1	33,5
Ambos sexos	Total Nacional	Educación superior	2024T4	33,4
Ambos sexos	Total Nacional	Educación superior	2024T3	33,6
Ambos sexos	Total Nacional	Educación superior	2024T2	32,9
Ambos sexos	Total Nacional	Educación superior	2024T1	33,1
Ambos sexos	Total Nacional	Educación superior	2023T4	33,2
Ambos sexos	Total Nacional	Educación superior	2023T3	33,1
Ambos sexos	Total Nacional	Educación superior	2023T2	32,5
Ambos sexos	Total Nacional	Educación superior	2023T1	32,3
Ambos sexos	Total Nacional	Educación superior	2022T4	32,3
Ambos sexos	Total Nacional	Educación superior	2022T3	32,8
Ambos sexos	Total Nacional	Educación superior	2022T2	32,1
Ambos sexos	Total Nacional	Educación superior	2022T1	32
Ambos sexos	Total Nacional	Educación superior	2021T4	32,2
Ambos sexos	Total Nacional	Educación superior	2021T3	32,2
Ambos sexos	Total Nacional	Educación superior	2021T2	31,9
Ambos sexos	Total Nacional	Educación superior	2021T1	31,9
Ambos sexos	Total Nacional	Educación superior	2020T4	31,7
Ambos sexos	Total Nacional	Educación superior	2020T3	31,6
Ambos sexos	Total Nacional	Educación superior	2020T2	31,2
Ambos sexos	Total Nacional	Educación superior	2020T1	30,7
Ambos sexos	Total Nacional	Educación superior	2019T4	30,6
Ambos sexos	Total Nacional	Educación superior	2019T3	30,6
Ambos sexos	Total Nacional	Educación superior	2019T2	30,1
Ambos sexos	Total Nacional	Educación superior	2019T1	29,9
Ambos sexos	Total Nacional	Educación superior	2018T4	29,7
Ambos sexos	Total Nacional	Educación superior	2018T3	29,6
Ambos sexos	Total Nacional	Educación superior	2018T2	29
Ambos sexos	Total Nacional	Educación superior	2018T1	28,7
Ambos sexos	Total Nacional	Educación superior	2017T4	28,8
Ambos sexos	Total Nacional	Educación superior	2017T3	28,9
Ambos sexos	Total Nacional	Educación superior	2017T2	28,3
Ambos sexos	Total Nacional	Educación superior	2017T1	28,2
Ambos sexos	Total Nacional	Educación superior	2016T4	28,3
Ambos sexos	Total Nacional	Educación superior	2016T3	28,4
Ambos sexos	Total Nacional	Educación superior	2016T2	27,8
Ambos sexos	Total Nacional	Educación superior	2016T1	27,8
Ambos sexos	Total Nacional	Educación superior	2015T4	27,8
Ambos sexos	Total Nacional	Educación superior	2015T3	27,7
Ambos sexos	Total Nacional	Educación superior	2015T2	27,4
Ambos sexos	Total Nacional	Educación superior	2015T1	27,3
Ambos sexos	Total Nacional	Educación superior	2014T4	27,6
Ambos sexos	Total Nacional	Educación superior	2014T3	27,4
Ambos sexos	Total Nacional	Educación superior	2014T2	26,9
Ambos sexos	Total Nacional	Educación superior	2014T1	26,9
Ambos sexos	01 Andalucía	Total	2025T1	100
Ambos sexos	01 Andalucía	Total	2024T4	100
Ambos sexos	01 Andalucía	Total	2024T3	100
Ambos sexos	01 Andalucía	Total	2024T2	100
Ambos sexos	01 Andalucía	Total	2024T1	100
Ambos sexos	01 Andalucía	Total	2023T4	100
Ambos sexos	01 Andalucía	Total	2023T3	100
Ambos sexos	01 Andalucía	Total	2023T2	100
Ambos sexos	01 Andalucía	Total	2023T1	100
Ambos sexos	01 Andalucía	Total	2022T4	100
Ambos sexos	01 Andalucía	Total	2022T3	100
Ambos sexos	01 Andalucía	Total	2022T2	100
